time,open,high,low,close,volume
2006-12-31 00:00,635.679,636.194,635.102,635.487,81
2007-01-01 00:00,635.506,637.364,635.006,636.655,719
2007-01-02 00:00,636.604,640.802,635.904,639.362,1267
2007-01-03 00:00,639.099,644.663,624.634,630.113,1319
2007-01-04 00:00,629.8,630.3,619.6,622.779,1363
2007-01-05 00:00,622.933,625.768,601.591,606.841,1088
2007-01-07 00:00,606.711,608.966,606.274,607.895,272
2007-01-08 00:00,607.506,613.083,602.943,612.167,1348
2007-01-09 00:00,612.474,615.662,605.281,611.578,1342
2007-01-10 00:00,611.614,613.01,605.153,608.831,1406
2007-01-11 00:00,608.626,615.785,607.982,610.946,1440
2007-01-12 00:00,610.645,627.323,609.458,626.233,1110
2007-01-14 00:00,625.72,627.53,624.133,625.079,330
2007-01-15 00:00,624.795,627.767,623.679,624.998,1440
2007-01-16 00:00,624.774,627.95,621.981,623.723,1408
2007-01-17 00:00,623.401,633.707,619.363,632.448,1389
2007-01-18 00:00,632.315,636.48,625.672,627.374,1336
2007-01-19 00:00,627.929,636.083,626.352,634.771,1062
2007-01-21 00:00,634.571,636.07,633.366,635.406,243
2007-01-22 00:00,635.034,639.34,631.065,633.308,1348
2007-01-23 00:00,633.319,647.615,632.882,644.448,1379
2007-01-24 00:00,643.964,648.77,638.015,646.517,1361
2007-01-25 00:00,646.686,654.442,643.202,643.799,1365
2007-01-26 00:00,643.897,647.833,639.942,645.38,1064
2007-01-28 00:00,645.262,647.708,644.8,645.1,263
2007-01-29 00:00,645.117,647.51,640.028,642.237,1312
2007-01-30 00:00,641.566,647.38,639.983,645.382,1338
2007-01-31 00:00,645.384,654.648,641.285,652.64,1340
2007-02-01 00:00,652.082,661.108,650.819,655.229,1360
2007-02-02 00:00,654.909,659.558,642.19,647.066,1053
2007-02-04 00:00,646.846,649.511,646.451,648.503,263
2007-02-05 00:00,647.97,651.687,645.171,648.641,1331
2007-02-06 00:00,648.92,658.229,647.863,654.292,1272
2007-02-07 00:00,653.841,656.508,650.032,651.76,1195
2007-02-08 00:00,651.691,661.24,646.879,658.301,1282
2007-02-09 00:00,658.527,668.044,656.227,666.063,913
2007-02-11 00:00,666.027,668.107,664.408,665.329,253
2007-02-12 00:00,665.218,666.219,659.061,660.646,1331
2007-02-13 00:00,660.752,668.87,660.155,665.998,1362
2007-02-14 00:00,665.356,671.708,664.37,666.579,1328
2007-02-15 00:00,666.391,670.4,661.906,668.585,1296
2007-02-16 00:00,668.49,669.348,662.058,668.094,1022
2007-02-18 00:00,668.315,671.594,666.718,670.572,229
2007-02-19 00:00,670.347,673.102,668.929,670.413,1167
2007-02-20 00:00,670.42,671.784,655.147,659.986,1351
